work_id	composer_id	imslp_pageid	imslp_work_url	title	imslp_genre_categories	has_files	fetched_at
3 Duos, Op.35 (Dancla, Charles)	Q1064049	215659	https://imslp.org/wiki/3_Duos%2C_Op.35_%28Dancla%2C_Charles%29	3 Duos, Op.35	Duets|For 2 players|For 2 violins		2026-09-24T15:06:37.507932+00:00
3 Duos, Op.60 (Dancla, Charles)	Q1064049	215664	https://imslp.org/wiki/3_Duos%2C_Op.60_%28Dancla%2C_Charles%29	3 Duos, Op.60	Duets|For 2 players|For 2 violins		2026-09-24T15:06:37.507932+00:00
3 Duos, Op.61 (Dancla, Charles)	Q1064049	215668	https://imslp.org/wiki/3_Duos%2C_Op.61_%28Dancla%2C_Charles%29	3 Duos, Op.61	Duets|For 2 players|For 2 violins		2026-09-24T15:06:37.507932+00:00
3 Duos, Op.62 (Dancla, Charles)	Q1064049	215670	https://imslp.org/wiki/3_Duos%2C_Op.62_%28Dancla%2C_Charles%29	3 Duos, Op.62	Duets|For 2 players|For 2 violins		2026-09-24T15:06:37.507932+00:00
6 Duos, Op.108 (Dancla, Charles)	Q1064049	1166751	https://imslp.org/wiki/6_Duos%2C_Op.108_%28Dancla%2C_Charles%29	6 Duos, Op.108			2026-09-24T15:06:37.507932+00:00
3 Duos, Op.124 (Dancla, Charles)	Q1064049	300162	https://imslp.org/wiki/3_Duos%2C_Op.124_%28Dancla%2C_Charles%29	3 Duos, Op.124			2026-09-24T15:06:37.507932+00:00
École de l'accompagnement, Op.175 (Dancla, Charles)	Q1064049	448808	https://imslp.org/wiki/%C3%89cole_de_l%27accompagnement%2C_Op.175_%28Dancla%2C_Charles%29	École de l'accompagnement, Op.175			2026-09-24T15:06:37.507932+00:00
L'école des cinq positions, Op.193 (Dancla, Charles)	Q1064049	200067	https://imslp.org/wiki/L%27%C3%A9cole_des_cinq_positions%2C_Op.193_%28Dancla%2C_Charles%29	L'école des cinq positions, Op.193	For 1 player|For violin		2026-09-24T15:06:37.507932+00:00
École du mécanisme, Op.74 (Dancla, Charles)	Q1064049	401393	https://imslp.org/wiki/%C3%89cole_du_m%C3%A9canisme%2C_Op.74_%28Dancla%2C_Charles%29	École du mécanisme, Op.74			2026-09-24T15:06:37.507932+00:00
20 Études brillantes et caractéristiques, Op.73 (Dancla, Charles)	Q1064049	505788	https://imslp.org/wiki/20_%C3%89tudes_brillantes_et_caract%C3%A9ristiques%2C_Op.73_%28Dancla%2C_Charles%29	20 Études brillantes et caractéristiques, Op.73			2026-09-24T15:06:37.507932+00:00
36 Études mélodiques, Op.84 (Dancla, Charles)	Q1064049	941541	https://imslp.org/wiki/36_%C3%89tudes_m%C3%A9lodiques%2C_Op.84_%28Dancla%2C_Charles%29	36 Études mélodiques, Op.84			2026-09-24T15:06:37.507932+00:00
Fantaisie brillante sur 'Robert le diable', Op.147 (Dancla, Charles)	Q1064049	566643	https://imslp.org/wiki/Fantaisie_brillante_sur_%27Robert_le_diable%27%2C_Op.147_%28Dancla%2C_Charles%29	Fantaisie brillante sur 'Robert le diable', Op.147			2026-09-24T15:06:37.507932+00:00
Fantaisie-caprice sur 'Faust', Op.133 (Dancla, Charles)	Q1064049	497476	https://imslp.org/wiki/Fantaisie-caprice_sur_%27Faust%27%2C_Op.133_%28Dancla%2C_Charles%29	Fantaisie-caprice sur 'Faust', Op.133			2026-09-24T15:06:37.507932+00:00
La fille aux oiseaux (Dancla, Charles)	Q1064049	741146	https://imslp.org/wiki/La_fille_aux_oiseaux_%28Dancla%2C_Charles%29	La fille aux oiseaux			2026-09-24T15:06:37.507932+00:00
Hommage à l'amitié, Op.66 (Dancla, Charles)	Q1064049	299096	https://imslp.org/wiki/Hommage_%C3%A0_l%27amiti%C3%A9%2C_Op.66_%28Dancla%2C_Charles%29	Hommage à l'amitié, Op.66	For 2 players|For violin, piano		2026-09-24T15:06:37.507932+00:00
Impromptu, Op.184 (Dancla, Charles)	Q1064049	858618	https://imslp.org/wiki/Impromptu%2C_Op.184_%28Dancla%2C_Charles%29	Impromptu, Op.184			2026-09-24T15:06:37.507932+00:00
Introduction et Rondeau-Caprice, Op.182 (Dancla, Charles)	Q1064049	858440	https://imslp.org/wiki/Introduction_et_Rondeau-Caprice%2C_Op.182_%28Dancla%2C_Charles%29	Introduction et Rondeau-Caprice, Op.182			2026-09-24T15:06:37.507932+00:00
Le mélodiste, Op.86 (Dancla, Charles)	Q1064049	240835	https://imslp.org/wiki/Le_m%C3%A9lodiste%2C_Op.86_%28Dancla%2C_Charles%29	Le mélodiste, Op.86	For 2 players|For violin, piano		2026-09-24T15:06:37.507932+00:00
Méthode élémentaire et progressive (Dancla, Charles)	Q1064049	485174	https://imslp.org/wiki/M%C3%A9thode_%C3%A9l%C3%A9mentaire_et_progressive_%28Dancla%2C_Charles%29	Méthode élémentaire et progressive			2026-09-24T15:06:37.507932+00:00
3 Morceaux de différents caractères, Op.148 (Dancla, Charles)	Q1064049	448168	https://imslp.org/wiki/3_Morceaux_de_diff%C3%A9rents_caract%C3%A8res%2C_Op.148_%28Dancla%2C_Charles%29	3 Morceaux de différents caractères, Op.148			2026-09-24T15:06:37.507932+00:00
Nouvelle école de la mélodie (Dancla, Charles)	Q1064049	793368	https://imslp.org/wiki/Nouvelle_%C3%A9cole_de_la_m%C3%A9lodie_%28Dancla%2C_Charles%29	Nouvelle école de la mélodie			2026-09-24T15:06:37.507932+00:00
12 Original Duos, Op.187 (Dancla, Charles)	Q1064049	555574	https://imslp.org/wiki/12_Original_Duos%2C_Op.187_%28Dancla%2C_Charles%29	12 Original Duos, Op.187			2026-09-24T15:06:37.507932+00:00
Les perles d’Italie, de France et d’Allemagne, Op.107bis (Dancla, Charles)	Q1064049	299498	https://imslp.org/wiki/Les_perles_d%E2%80%99Italie%2C_de_France_et_d%E2%80%99Allemagne%2C_Op.107bis_%28Dancla%2C_Charles%29	Les perles d’Italie, de France et d’Allemagne, Op.107bis			2026-09-24T15:06:37.507932+00:00
Petite école de la mélodie, Op.123 (Dancla, Charles)	Q1064049	59810	https://imslp.org/wiki/Petite_%C3%A9cole_de_la_m%C3%A9lodie%2C_Op.123_%28Dancla%2C_Charles%29	Petite école de la mélodie, Op.123	For 1 player (arr)|For 2 players|For 3 players (arr)|For 3 violins (arr)|For cello (arr)|For orchestra (arr)|For violin, piano|For violin or cello and piano (arr)|Suites		2026-09-24T15:06:37.507932+00:00
Petite école de la mélodie, Op.129 (Dancla, Charles)	Q1064049	934236	https://imslp.org/wiki/Petite_%C3%A9cole_de_la_m%C3%A9lodie%2C_Op.129_%28Dancla%2C_Charles%29	Petite école de la mélodie, Op.129			2026-09-24T15:06:37.507932+00:00
3 Petites Bluettes, Op.189 (Dancla, Charles)	Q1064049	1090856	https://imslp.org/wiki/3_Petites_Bluettes%2C_Op.189_%28Dancla%2C_Charles%29	3 Petites Bluettes, Op.189			2026-09-24T15:06:37.507932+00:00
6 Petites fantaisies faciles, Op.126 (Dancla, Charles)	Q1064049	139030	https://imslp.org/wiki/6_Petites_fantaisies_faciles%2C_Op.126_%28Dancla%2C_Charles%29	6 Petites fantaisies faciles, Op.126			2026-09-24T15:06:37.507932+00:00
Petites pièces mignonnes, Op.149 (Dancla, Charles)	Q1064049	515965	https://imslp.org/wiki/Petites_pi%C3%A8ces_mignonnes%2C_Op.149_%28Dancla%2C_Charles%29	Petites pièces mignonnes, Op.149			2026-09-24T15:06:37.507932+00:00
6 Petites pièces, Op.163 (Dancla, Charles)	Q1064049	299176	https://imslp.org/wiki/6_Petites_pi%C3%A8ces%2C_Op.163_%28Dancla%2C_Charles%29	6 Petites pièces, Op.163			2026-09-24T15:06:37.507932+00:00
3 Petites symphonies concertantes, Op.109 (Dancla, Charles)	Q1064049	102519	https://imslp.org/wiki/3_Petites_symphonies_concertantes%2C_Op.109_%28Dancla%2C_Charles%29	3 Petites symphonies concertantes, Op.109	For 2 flutes, piano (arr)|For 2 violins, piano|For 3 players|For 3 players (arr)|For flute, violin, piano (arr)|Symphonies		2026-09-24T15:06:37.507932+00:00
6 Petits divertissements, Op.106 (Dancla, Charles)	Q1064049	305808	https://imslp.org/wiki/6_Petits_divertissements%2C_Op.106_%28Dancla%2C_Charles%29	6 Petits divertissements, Op.106			2026-09-24T15:06:37.507932+00:00
6 Petits trios faciles et concertants, Op.99 (Dancla, Charles)	Q1064049	215599	https://imslp.org/wiki/6_Petits_trios_faciles_et_concertants%2C_Op.99_%28Dancla%2C_Charles%29	6 Petits trios faciles et concertants, Op.99			2026-09-24T15:06:37.507932+00:00
Piano Trio No.2, Op.37 (Dancla, Charles)	Q1064049	44099	https://imslp.org/wiki/Piano_Trio_No.2%2C_Op.37_%28Dancla%2C_Charles%29	Piano Trio No.2, Op.37	For 3 players|For violin, cello, piano|Trios		2026-09-24T15:06:37.507932+00:00
Piano Trio No.4, Op.51 (Dancla, Charles)	Q1064049	39417	https://imslp.org/wiki/Piano_Trio_No.4%2C_Op.51_%28Dancla%2C_Charles%29	Piano Trio No.4, Op.51	For 3 players|For violin, cello, piano|Trios		2026-09-24T15:06:37.507932+00:00
3 Pieces for 4 Violins, Op.178 (Dancla, Charles)	Q1064049	396810	https://imslp.org/wiki/3_Pieces_for_4_Violins%2C_Op.178_%28Dancla%2C_Charles%29	3 Pieces for 4 Violins, Op.178			2026-09-24T15:06:37.507932+00:00
Les premiers aveux (Dancla, Charles)	Q1064049	741149	https://imslp.org/wiki/Les_premiers_aveux_%28Dancla%2C_Charles%29	Les premiers aveux			2026-09-24T15:06:37.507932+00:00
Le progrès, Op.54 (Dancla, Charles)	Q1064049	1385562	https://imslp.org/wiki/Le_progr%C3%A8s%2C_Op.54_%28Dancla%2C_Charles%29	Le progrès, Op.54			2026-09-24T15:06:37.507932+00:00
La Promesse, Op.223 (Dancla, Charles)	Q1064049	449026	https://imslp.org/wiki/La_Promesse%2C_Op.223_%28Dancla%2C_Charles%29	La Promesse, Op.223			2026-09-24T15:06:37.507932+00:00
Les rayons d'or, Op.27 (Dancla, Charles)	Q1064049	884244	https://imslp.org/wiki/Les_rayons_d%27or%2C_Op.27_%28Dancla%2C_Charles%29	Les rayons d'or, Op.27			2026-09-24T15:06:37.507932+00:00
Les récréations du jeune violiniste, Op.82 (Dancla, Charles)	Q1064049	1452023	https://imslp.org/wiki/Les_r%C3%A9cr%C3%A9ations_du_jeune_violiniste%2C_Op.82_%28Dancla%2C_Charles%29	Les récréations du jeune violiniste, Op.82			2026-09-24T15:06:37.507932+00:00
Résignation, Op.59 (Dancla, Charles)	Q1064049	299108	https://imslp.org/wiki/R%C3%A9signation%2C_Op.59_%28Dancla%2C_Charles%29	Résignation, Op.59	For 1 player (arr)|For 2 players|For piano (arr)|For violin, piano|Pieces		2026-09-24T15:06:37.507932+00:00
La Réunion, Op.203 (Dancla, Charles)	Q1064049	55141	https://imslp.org/wiki/La_R%C3%A9union%2C_Op.203_%28Dancla%2C_Charles%29	La Réunion, Op.203	For 4 guitars (arr)|For 4 players|For 4 players (arr)|For 4 violins|Pieces		2026-09-24T15:06:37.507932+00:00
Rigodon, Op.206 (Dancla, Charles)	Q1064049	299155	https://imslp.org/wiki/Rigodon%2C_Op.206_%28Dancla%2C_Charles%29	Rigodon, Op.206	For 2 players|For violin, piano		2026-09-24T15:06:37.507932+00:00
3 Romances sans paroles, Op.57 (Dancla, Charles)	Q1064049	91236	https://imslp.org/wiki/3_Romances_sans_paroles%2C_Op.57_%28Dancla%2C_Charles%29	3 Romances sans paroles, Op.57	For 2 players|For violin, piano		2026-09-24T15:06:37.507932+00:00
24 Scales and Melodies, Op.115 (Dancla, Charles)	Q1064049	400326	https://imslp.org/wiki/24_Scales_and_Melodies%2C_Op.115_%28Dancla%2C_Charles%29	24 Scales and Melodies, Op.115			2026-09-24T15:06:37.507932+00:00
Le semainier du jeune violoniste, Op.144 (Dancla, Charles)	Q1064049	485162	https://imslp.org/wiki/Le_semainier_du_jeune_violoniste%2C_Op.144_%28Dancla%2C_Charles%29	Le semainier du jeune violoniste, Op.144			2026-09-24T15:06:37.507932+00:00
Séparation, Op.183 (Dancla, Charles)	Q1064049	858282	https://imslp.org/wiki/S%C3%A9paration%2C_Op.183_%28Dancla%2C_Charles%29	Séparation, Op.183			2026-09-24T15:06:37.507932+00:00
Simple histoire, Op.166 (Dancla, Charles)	Q1064049	979661	https://imslp.org/wiki/Simple_histoire%2C_Op.166_%28Dancla%2C_Charles%29	Simple histoire, Op.166			2026-09-24T15:06:37.507932+00:00
Solo de concours No.7, Op.224 (Dancla, Charles)	Q1064049	299509	https://imslp.org/wiki/Solo_de_concours_No.7%2C_Op.224_%28Dancla%2C_Charles%29	Solo de concours No.7, Op.224			2026-09-24T15:06:37.507932+00:00
Souvenir de Beethoven et de Weber, Op.21 (Dancla, Charles)	Q1064049	1358639	https://imslp.org/wiki/Souvenir_de_Beethoven_et_de_Weber%2C_Op.21_%28Dancla%2C_Charles%29	Souvenir de Beethoven et de Weber, Op.21			2026-09-24T15:06:37.507932+00:00
Souvenir du Théâtre Italien, Op.83 (Dancla, Charles)	Q1064049	300299	https://imslp.org/wiki/Souvenir_du_Th%C3%A9%C3%A2tre_Italien%2C_Op.83_%28Dancla%2C_Charles%29	Souvenir du Théâtre Italien, Op.83			2026-09-24T15:06:37.507932+00:00
Le Souvenir, Op.58 (Dancla, Charles)	Q1064049	299102	https://imslp.org/wiki/Le_Souvenir%2C_Op.58_%28Dancla%2C_Charles%29	Le Souvenir, Op.58	For 2 players|For violin, piano|Pieces		2026-09-24T15:06:37.507932+00:00
String Quartet No.1, Op.5 (Dancla, Charles)	Q1064049	477274	https://imslp.org/wiki/String_Quartet_No.1%2C_Op.5_%28Dancla%2C_Charles%29	String Quartet No.1, Op.5			2026-09-24T15:06:37.507932+00:00
String Quartet No.4, Op.41 (Dancla, Charles)	Q1064049	478627	https://imslp.org/wiki/String_Quartet_No.4%2C_Op.41_%28Dancla%2C_Charles%29	String Quartet No.4, Op.41			2026-09-24T15:06:37.507932+00:00
String Quartet No.5, Op.48 (Dancla, Charles)	Q1064049	478625	https://imslp.org/wiki/String_Quartet_No.5%2C_Op.48_%28Dancla%2C_Charles%29	String Quartet No.5, Op.48			2026-09-24T15:06:37.507932+00:00
String Quartet No.6, Op.56 (Dancla, Charles)	Q1064049	478621	https://imslp.org/wiki/String_Quartet_No.6%2C_Op.56_%28Dancla%2C_Charles%29	String Quartet No.6, Op.56			2026-09-24T15:06:37.507932+00:00
String Quartet No.7, Op.80 (Dancla, Charles)	Q1064049	755323	https://imslp.org/wiki/String_Quartet_No.7%2C_Op.80_%28Dancla%2C_Charles%29	String Quartet No.7, Op.80			2026-09-24T15:06:37.507932+00:00
String Quartet No.12, Op.142 (Dancla, Charles)	Q1064049	527963	https://imslp.org/wiki/String_Quartet_No.12%2C_Op.142_%28Dancla%2C_Charles%29	String Quartet No.12, Op.142			2026-09-24T15:06:37.507932+00:00
15 Studies for Violin, Op.68 (Dancla, Charles)	Q1064049	30829	https://imslp.org/wiki/15_Studies_for_Violin%2C_Op.68_%28Dancla%2C_Charles%29	15 Studies for Violin, Op.68	For 1 player|For 2 guitars (arr)|For 2 players|For 2 players (arr)|For 2 violas (arr)|For 2 violins|For violin		2026-09-24T15:06:37.507932+00:00
Symphonie concertante No.4, Op.98 (Dancla, Charles)	Q1064049	699578	https://imslp.org/wiki/Symphonie_concertante_No.4%2C_Op.98_%28Dancla%2C_Charles%29	Symphonie concertante No.4, Op.98	For 2 violins, orchestra|For 2 violins, piano (arr)|For 3 players (arr)|For orchestra with soloists|Symphonies		2026-09-24T15:06:37.507932+00:00
Symphonie Concertante, Op.198 (Dancla, Charles)	Q1064049	836482	https://imslp.org/wiki/Symphonie_Concertante%2C_Op.198_%28Dancla%2C_Charles%29	Symphonie Concertante, Op.198			2026-09-24T15:06:37.507932+00:00
Theme and Variations (Dancla, Charles)	Q1064049	407046	https://imslp.org/wiki/Theme_and_Variations_%28Dancla%2C_Charles%29	Theme and Variations	For 2 players|For violin, piano|Variations		2026-09-24T15:06:37.507932+00:00
Trio brillant, Op.22 (Dancla, Charles)	Q1064049	682001	https://imslp.org/wiki/Trio_brillant%2C_Op.22_%28Dancla%2C_Charles%29	Trio brillant, Op.22	For 3 players|For violin, cello, piano|Trios		2026-09-24T15:06:37.507932+00:00
Variations brillantes sur 'Le carnaval de Venise', Op.120 (Dancla, Charles)	Q1064049	299488	https://imslp.org/wiki/Variations_brillantes_sur_%27Le_carnaval_de_Venise%27%2C_Op.120_%28Dancla%2C_Charles%29	Variations brillantes sur 'Le carnaval de Venise', Op.120	For 2 players|For violin, piano|Variations		2026-09-24T15:06:37.507932+00:00
Variations on 'Ah! vous dirai-je, maman!', Op.161 (Dancla, Charles)	Q1064049	784586	https://imslp.org/wiki/Variations_on_%27Ah%21_vous_dirai-je%2C_maman%21%27%2C_Op.161_%28Dancla%2C_Charles%29	Variations on 'Ah! vous dirai-je, maman!', Op.161			2026-09-24T15:06:37.507932+00:00
2 Violin Duos, Opp.19, 20 (Dancla, Charles)	Q1064049	123209	https://imslp.org/wiki/2_Violin_Duos%2C_Opp.19%2C_20_%28Dancla%2C_Charles%29	2 Violin Duos, Opp.19, 20	Duets|For 2 guitars (arr)|For 2 players|For 2 players (arr)|For 2 recorders (arr)|For 2 violins|For flute, guitar (arr)|For guitar, violin (arr)		2026-09-24T15:06:37.507932+00:00
3 Violin Sonatas, Op.138 (Dancla, Charles)	Q1064049	122824	https://imslp.org/wiki/3_Violin_Sonatas%2C_Op.138_%28Dancla%2C_Charles%29	3 Violin Sonatas, Op.138	For 2 players|For 2 violins|Sonatas		2026-09-24T15:06:37.507932+00:00
La Vision!, Op.185 (Dancla, Charles)	Q1064049	858402	https://imslp.org/wiki/La_Vision%21%2C_Op.185_%28Dancla%2C_Charles%29	La Vision!, Op.185			2026-09-24T15:06:37.507932+00:00
L'ardita (Arditi, Luigi)	Q918479	253921	https://imslp.org/wiki/L%27ardita_%28Arditi%2C_Luigi%29	L'ardita			2026-09-24T15:06:37.774242+00:00
Il bacio (Arditi, Luigi)	Q918479	27976	https://imslp.org/wiki/Il_bacio_%28Arditi%2C_Luigi%29	Il bacio	For 1 player (arr)|For 2 players (arr)|For cello, piano (arr)|For guitar, violin (arr)|For guitar (arr)|For piano (arr)|For piano 4 hands (arr)|For viola, piano (arr)|For violin, piano (arr)|For voice, orchestra (arr)|For voice, piano|For voice, wind band (arr)|For voices with keyboard|For voices with orchestra (arr)|Songs|Waltzes		2026-09-24T15:06:37.774242+00:00
Capriccio-mazurka (Arditi, Luigi)	Q918479	525001	https://imslp.org/wiki/Capriccio-mazurka_%28Arditi%2C_Luigi%29	Capriccio-mazurka			2026-09-24T15:06:37.774242+00:00
Fior di margherita (Arditi, Luigi)	Q918479	834577	https://imslp.org/wiki/Fior_di_margherita_%28Arditi%2C_Luigi%29	Fior di margherita			2026-09-24T15:06:37.774242+00:00
Forosetta (Arditi, Luigi)	Q918479	1391899	https://imslp.org/wiki/Forosetta_%28Arditi%2C_Luigi%29	Forosetta			2026-09-24T15:06:37.774242+00:00
Gitano-gitana (Arditi, Luigi)	Q918479	525003	https://imslp.org/wiki/Gitano-gitana_%28Arditi%2C_Luigi%29	Gitano-gitana			2026-09-24T15:06:37.774242+00:00
Ilma (Arditi, Luigi)	Q918479	302094	https://imslp.org/wiki/Ilma_%28Arditi%2C_Luigi%29	Ilma			2026-09-24T15:06:37.774242+00:00
L'ingénue (Arditi, Luigi)	Q918479	525007	https://imslp.org/wiki/L%27ing%C3%A9nue_%28Arditi%2C_Luigi%29	L'ingénue			2026-09-24T15:06:37.774242+00:00
Kellogg-valse (Arditi, Luigi)	Q918479	1183029	https://imslp.org/wiki/Kellogg-valse_%28Arditi%2C_Luigi%29	Kellogg-valse			2026-09-24T15:06:37.774242+00:00
Ophélie-valse (Arditi, Luigi)	Q918479	525015	https://imslp.org/wiki/Oph%C3%A9lie-valse_%28Arditi%2C_Luigi%29	Ophélie-valse			2026-09-24T15:06:37.774242+00:00
L'orfanella (Arditi, Luigi)	Q918479	296680	https://imslp.org/wiki/L%27orfanella_%28Arditi%2C_Luigi%29	L'orfanella			2026-09-24T15:06:37.774242+00:00
Parla! (Arditi, Luigi)	Q918479	542178	https://imslp.org/wiki/Parla%21_%28Arditi%2C_Luigi%29	Parla!			2026-09-24T15:06:37.774242+00:00
Les petits tambours (Arditi, Luigi)	Q918479	525009	https://imslp.org/wiki/Les_petits_tambours_%28Arditi%2C_Luigi%29	Les petits tambours			2026-09-24T15:06:37.774242+00:00
Se Saran Rose (Arditi, Luigi)	Q918479	1091306	https://imslp.org/wiki/Se_Saran_Rose_%28Arditi%2C_Luigi%29	Se Saran Rose			2026-09-24T15:06:37.774242+00:00
La Spia (Arditi, Luigi)	Q918479	1253384	https://imslp.org/wiki/La_Spia_%28Arditi%2C_Luigi%29	La Spia			2026-09-24T15:06:37.774242+00:00
The Stirrup Cup (Arditi, Luigi)	Q918479	296678	https://imslp.org/wiki/The_Stirrup_Cup_%28Arditi%2C_Luigi%29	The Stirrup Cup			2026-09-24T15:06:37.774242+00:00
Les tourterelles (Arditi, Luigi)	Q918479	525012	https://imslp.org/wiki/Les_tourterelles_%28Arditi%2C_Luigi%29	Les tourterelles			2026-09-24T15:06:37.774242+00:00
Una notte d'amore (Arditi, Luigi)	Q918479	496564	https://imslp.org/wiki/Una_notte_d%27amore_%28Arditi%2C_Luigi%29	Una notte d'amore			2026-09-24T15:06:37.774242+00:00
Valse des belles Viennoises (Arditi, Luigi)	Q918479	523833	https://imslp.org/wiki/Valse_des_belles_Viennoises_%28Arditi%2C_Luigi%29	Valse des belles Viennoises			2026-09-24T15:06:37.774242+00:00
Why Do Ye Wither, Flow'rets? (Arditi, Luigi)	Q918479	235706	https://imslp.org/wiki/Why_Do_Ye_Wither%2C_Flow%27rets%3F_%28Arditi%2C_Luigi%29	Why Do Ye Wither, Flow'rets?	For voice, piano|For voices with keyboard|Songs		2026-09-24T15:06:37.774242+00:00
Album for Piano, Op.26 (Kirchner, Theodor)	Q67759	19689	https://imslp.org/wiki/Album_for_Piano%2C_Op.26_%28Kirchner%2C_Theodor%29	Album for Piano, Op.26	For 1 player|For piano|Pieces		2026-09-24T15:06:38.859079+00:00
Albumblätter, Op.7 (Kirchner, Theodor)	Q67759	115334	https://imslp.org/wiki/Albumbl%C3%A4tter%2C_Op.7_%28Kirchner%2C_Theodor%29	Albumblätter, Op.7			2026-09-24T15:06:38.859079+00:00
